Index,Precursor mz,Challenge,Formula,SMILES,InChIkey,Adduct,Ion mode
challenge_0,517.2210 ,CASMI2022_Priority_0,C25H38O9,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O,ZUDBDCBPZHGAEL-DCYCNZAJSA-N,[M+Cl]-,negative
challenge_1,959.4857 ,CASMI2022_Priority_1,C46H74O18,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)O)C)C)C,ZKCHQVRAXCCTLE-YXHZOQBQSA-N,[M+FA-H]-,negative
challenge_2,719.2546 ,CASMI2022_Priority_2,C35H42O16,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C,UYALDZZEAZIEME-MYTBKXFISA-N,[M+H]+,positive
challenge_3,467.2728 ,CASMI2022_Priority_3,C22H40N2O7,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(CC(C)C)O,IFQVIMQHTPDZQU-UHFFFAOYSA-N,[M+Na]+,positive
challenge_4,499.2302 ,CASMI2022_Priority_4,C26H36O8,CC1CC2(C(C1O)C=C(C(CC3C(C3(C)C)C=C(C2=O)C)OC(=O)CCC(=O)O)C)OC(=O)C,XPXRFYSHQGUVFK-UTXMSIPTSA-N,[M+Na]+,positive
challenge_5,1102.5793 ,CASMI2022_Priority_5,C54H84O22,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)O)C)O)O)O)COC(=O)C)O)O)O,XPCKJVBBSBPFQL-DCULSWDLSA-N,[M+NH4]+,positive
challenge_6,577.1563 ,CASMI2022_Priority_6,C27H30O14,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,LYKXPTCUGPKDQL-ZRXCBZTOSA-N,[M-H]-,negative
challenge_7,371.2439 ,CASMI2022_Priority_7,C20H36O6,CCCCCCCCCC(=O)OC(C(C(C)C)OC(=O)C(C)C)C(=O)O,RZCUHAHZISRSJD-UHFFFAOYSA-N,[M-H]-,negative
challenge_8,336.1740 ,CASMI2022_Priority_8,C17H25N3O2S,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,[M+H]+,positive
challenge_9,472.2092 ,CASMI2022_Priority_9,C25H25N7O3,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,YBSJFWOBGCMAKL-UHFFFAOYSA-N,[M+H]+,positive
challenge_10,657.3130 ,CASMI2022_Priority_10,C33H44N4O10,CCCC(=O)OCC(C(C(CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC,MJNIWUJSIGSWKK-BBANNHEPSA-N,[M+H]+,positive
challenge_11,185.0608 ,CASMI2022_Priority_11,C12H10O2,CC1=CC=C(C2=CC=CC=C12)C(=O)O,SIVYRLBDAPKADZ-UHFFFAOYSA-N,[M-H]-,negative
challenge_12,723.3961 ,CASMI2022_Priority_12,C37H58O11,CC1CC(OC2(C1C3(CCC45CC46CCC(C(C6CC=C5C3(C2O)C)(C)C)OC7C(C(C(CO7)O)O)O)C)O)C(C(C)(C)O)OC(=O)C,FTUCJLKRCLNNPB-OQDXJULVSA-N,[M+FA-H]-,negative
challenge_13,679.4063 ,CASMI2022_Priority_13,C36H58O9,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,WNRDHIDWADTLIO-YYCILOOSSA-N,[M+FA-H]-,negative
challenge_14,519.3316 ,CASMI2022_Priority_14,C30H46O7,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)C2C1(C)O)C)C(=O)O,FYGSMJAMPMZYFS-XOTGQYDDSA-N,[M+H]+,positive
challenge_15,233.1172 ,CASMI2022_Priority_15,C14H16O3,CCC1(C(=O)C=CC2=C1OC(=C(C2=O)C)C)C,QMMMQWRPZIJGPT-AWEZNQCLSA-N,[M+H]+,positive
challenge_16,555.2776 ,CASMI2022_Priority_16,C26H44O11,CC1(CCC2C3(CCCC(C3CC(C2(C1)O)O)(C)C(=O)O)C)C(COC4C(C(C(C(O4)CO)O)O)O)O,SFLNQLHULUYBES-UHFFFAOYSA-N,[M+Na]+,positive
challenge_17,918.5268 ,CASMI2022_Priority_17,C42H76O20,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,BQIUFGZODBARSL-UHFFFAOYSA-N,[M+NH4]+,positive
challenge_18,195.0663 ,CASMI2022_Priority_18,C10H12O4,COC1=CC(=C(C=C1)CCC(=O)O)O,CGWRDLSMEFSEDN-UHFFFAOYSA-N,[M-H]-,negative
challenge_19,529.1715 ,CASMI2022_Priority_19,C27H30O11,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC(C(=C)C)O)C4=CC=C(C=C4)OC)O)O)O,SRPODRMTMBGGLK-MLIZCRTMSA-N,[M-H]-,negative
challenge_20,347.1278 ,CASMI2022_Priority_20,C22H18O4,CC1=C(C=C(C=C1)C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4)C)O)O,VCSUYXUJFRFUEL-UHFFFAOYSA-N,[M+H]+,positive
challenge_21,454.0753 ,CASMI2022_Priority_21,C21H18F3NO3S2,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,YDBLKRPLXZNVNB-UHFFFAOYSA-N,[M+H]+,positive
challenge_22,489.2279 ,CASMI2022_Priority_22,C23H32N6O4S,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,MJEXYQIZUOHDGY-UHFFFAOYSA-N,[M+H]+,positive
challenge_23,181.0142 ,CASMI2022_Priority_23,C8H6O5,C1=CC(=C(C=C1O)C(=O)O)C(=O)O,MWRVRCAFWBBXTL-UHFFFAOYSA-N,[M-H]-,negative
challenge_24,1111.5097 ,CASMI2022_Priority_24,C52H84O23,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C,FMERKDCSVVHBLX-KCTRNYBHSA-N,[M+Cl]-,negative
challenge_25,192.1383 ,CASMI2022_Priority_25,C12H17NO,CC(C)NC(=O)CCC1=CC=CC=C1,ZYRLCOGVOHEKBK-UHFFFAOYSA-N,[M+H]+,positive
challenge_26,717.3820 ,CASMI2022_Priority_26,C37H58O12,CC1CC(OC(=O)C1C2(CCC34CC35CCC(C(C5CCC4C2(C)C(=O)O)(C)C)OC6C(C(C(CO6)O)O)O)C)C(C(C)(C)O)OC(=O)C,CNWZWVFEXLYSBT-KCPUTACTSA-N,[M+Na]+,positive
challenge_27,545.2146 ,CASMI2022_Priority_27,C30H34O8,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)O)O)OC)C,UDWINLZYCCTMBM-KVGJNFRLSA-N,[M+Na]+,positive
challenge_28,1266.7052 ,CASMI2022_Priority_28,C58H104O28,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O,DXKIYFYDJGEVJY-UHFFFAOYSA-N,[M+NH4]+,positive
challenge_29,725.2298 ,CASMI2022_Priority_29,C33H42O18,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O,BRDVWIOUHLWIGN-LJHYTBJKSA-N,[M-H]-,negative
challenge_30,535.1821 ,CASMI2022_Priority_30,C26H32O12,COC1=CC(=CC(=C1O)C2C(C(C(C(O2)CO)O)O)O)CC3COC(=O)C3(CC4=CC(=C(C=C4)O)OC)O,LIIDAMUJPFBXAR-FPOXNKGTSA-N,[M-H]-,negative
challenge_31,211.0976 ,CASMI2022_Priority_31,C11H16O4,CCCCCC1C(=C(C(=O)O1)C)C(=O)O,OIUPBOONLQPLQI-MRVPVSSYSA-N,[M-H]-,negative
challenge_32,185.1183 ,CASMI2022_Priority_32,C10H18O3,CC(CCCC(=CCO)C)C(=O)O,YVJQQTNULQIMBG-VIFPVBQESA-N,[M-H]-,negative
challenge_33,505.2228 ,CASMI2022_Priority_33,C23H32N6O5S,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCC)C,NEYKRKVLEWKOBI-UHFFFAOYSA-N,[M+H]+,positive
challenge_34,522.5972 ,CASMI2022_Priority_34,C36H75N,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,SWZDQOUHBYYPJD-UHFFFAOYSA-N,[M+H]+,positive
challenge_35,425.0110 ,CASMI2022_Priority_35,C14H15BrClNO6,C1=CC(=C(C2=C1NC=C2OC3C(C(C(C(O3)CO)O)O)O)Cl)Br,OPIFSICVWOWJMJ-AEOCFKNESA-N,[M+NH4]+,positive
challenge_36,223.9845 ,CASMI2022_Priority_36,C9H7NO2S2,C1=CC=C2C(=C1)N=C(S2)SCC(=O)O,ZZUQWNYNSKJLPI-UHFFFAOYSA-N,[M-H]-,negative
challenge_37,243.0874 ,CASMI2022_Priority_37,C10H14O4,CCCC(C1=C(OC(=O)C=C1)CO)O,KGBKYZFFQHZKLE-QMMMGPOBSA-N,[M+FA-H]-,negative
challenge_38,301.1657 ,CASMI2022_Priority_38,C14H24O4,CC=C(C)CC(C)C1C(C(C(C(=O)O1)(C)O)O)C,UKWNFIJQRGRIDQ-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_39,973.5014 ,CASMI2022_Priority_39,C47H76O18,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1(C)O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O,WICIOAMNFCXLEV-MSGDGCCXSA-N,[M+FA-H]-,negative
challenge_40,251.1642 ,CASMI2022_Priority_40,C15H22O3,CC1=C(CC2(C13CCC(C3CC2)(C)O)C)C(=O)O,ODEUPBSFCFNAST-MXAVVETBSA-N,[M+H]+,positive
challenge_41,199.0965 ,CASMI2022_Priority_41,C10H14O4,CCCC1=C(C=CC(=O)O1)C(CO)O,WYOIVALENVXRJQ-QMMMGPOBSA-N,[M+H]+,positive
challenge_42,217.0835 ,CASMI2022_Priority_42,C11H14O3,CC=C(C)C1=CC(=C(C(=O)O1)C)OC,NRLCQITWKJENAT-UHFFFAOYSA-N,[M+Na]+,positive
challenge_43,805.4345 ,CASMI2022_Priority_43,C41H66O14,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1(C)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O,OQQOYQUBUVPAAU-SCPUYFPYSA-N,[M+Na]+,positive
challenge_44,865.2772 ,CASMI2022_Priority_44,C40H50O21,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)OC(C(C(=O)OC)O)OC(C)C(=O)O)O)O,HAVCNTVVRPOVNT-SLNRQDROSA-N,[M-H]-,negative
challenge_45,249.1496 ,CASMI2022_Priority_45,C15H22O3,CC1(C2C1C=C(CCC(C(=C)CC2)O)C(=O)O)C,UFUCTYSVQPEEFA-AVGNSLFASA-N,[M-H]-,negative
challenge_46,358.1660 ,CASMI2022_Priority_46,C20H25NO5,CC1C=CC2CCCCC2C1C3=CC(=C(C(=O)O3)C=O)NC(C)C(=O)O,WOPHEEXRJKUYKQ-UHFFFAOYSA-N,[M-H]-,negative
challenge_47,419.0973 ,CASMI2022_Priority_47,C20H18O10,COC1=C2C(=C(C(=C1)C(=O)OC)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2,JMZOMFYRADAWOG-UHFFFAOYSA-N,[M+H]+,positive
challenge_48,381.0070 ,CASMI2022_Priority_48,C13H15IN2O2,CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)I,FJDDSMSDZHURBJ-UHFFFAOYSA-N,[M+Na]+,positive
challenge_49,600.4681 ,CASMI2022_Priority_49,C30H62O10,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,ONJQDTZCDSESIW-UHFFFAOYSA-N,[M+NH4]+,positive
challenge_50,280.1415 ,CASMI2022_Priority_50,C12H19N5O3,CN1C2=C(N=C1NCCCOC)N(C(=O)N(C2=O)C)C,ZZQHGKMTMAORFI-UHFFFAOYSA-N,[M-H]-,negative
challenge_51,567.2083 ,CASMI2022_Priority_51,C26H34O11,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)C(CC3=CC(=C(C=C3)O)OC)CO)C=CCO,UFFRBCKYXMEITK-PEBYTCCLSA-N,[M+FA-H]-,negative
challenge_52,1145.5233 ,CASMI2022_Priority_52,C50H84O26,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(=CCC(C(=CCCC(=CCCC(C)(C=C)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)O)O)C)C)O)C)O)O)OC5C(C(C(C(O5)C)O)O)O)O)O)O,XBQGYUHHNKDVKX-LJPKUSMYSA-N,[M+FA-H]-,negative
challenge_53,235.0965 ,CASMI2022_Priority_53,C13H14O4,CC1C(=C)OC(=O)C2=C1C(=C(C=C2O)OC)C,CIGSWLXZMSXAAE-ZCFIWIBFSA-N,[M+H]+,positive
challenge_54,305.2475 ,CASMI2022_Priority_54,C20H32O2,CC1CCC2(C(C1(C)CCC(=CC(=O)O)C)CCC=C2C)C,NLVMTSRTOGOFQD-UHFFFAOYSA-N,[M+H]+,positive
challenge_55,251.0815 ,CASMI2022_Priority_55,C15H10N2O2,COC1=CC2=NC=CC3=C2N(C1=O)C4=CC=CC=C34,TXEFUSAHPIYZHD-UHFFFAOYSA-N,[M+H]+,positive
challenge_56,256.1907 ,CASMI2022_Priority_56,C14H25NO3,CCC(C(CC=CCC=CCCCC(=O)N)O)O,ZRAPVLSWOKTYNU-UHFFFAOYSA-N,[M+H]+,positive
challenge_57,284.1656 ,CASMI2022_Priority_57,C18H23NO2,CC(=CCC1(C2=C(C=C(C=C2)O)NC1=O)C(C)(C)C=C)C,FVINVHIYNUTXPB-SFHVURJKSA-N,[M-H]-,negative
challenge_58,265.1445 ,CASMI2022_Priority_58,C15H22O4,CC1CCC=C2C1(CC(C(C2O)O)C(=C)C(=O)O)C,JJXLDNFRQCESGZ-UHFFFAOYSA-N,[M-H]-,negative
challenge_59,263.1289 ,CASMI2022_Priority_59,C15H20O4,CC1(CC2C=C(C3(CC3(C2C1)C)C(=O)O)C(=O)O)C,OAHIHSADYZLDCR-UHFFFAOYSA-N,[M-H]-,negative
challenge_60,305.1183 ,CASMI2022_Priority_60,C20H18O3,C1=CC(=CC=C1CC2=CC(=C(C=C2)O)CC3=CC=C(C=C3)O)O,YQOVRUAPWCGSLC-UHFFFAOYSA-N,[M-H]-,negative
challenge_61,784.9837 ,CASMI2022_Priority_61,C15H9F24O4P,C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OP(=O)(OCC(C(C(C(F)F)(F)F)(F)F)(F)F)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,BSOLVVCARHZLMT-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_62,287.1139 ,CASMI2022_Priority_62,C14H14N4O3,CC1=NC=C(C(=C1O)C=NNC(=O)C2=CC=NC=C2)CO,BQYIXOPJPLGCRZ-REZTVBANSA-N,[M+H]+,positive
challenge_63,564.2493 ,CASMI2022_Priority_63,C34H33N3O5,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,OSFCMRGOZNQUSW-UHFFFAOYSA-N,[M+H]+,positive
challenge_64,386.1839 ,CASMI2022_Priority_64,C22H25N3O2,CC(C)(CC1=CNC2=CC=CC=C21)NCC(COC3=CC=CC=C3C#N)O,FBMYKMYQHCBIGU-UHFFFAOYSA-N,[M+Na]+,positive
challenge_65,363.1580 ,CASMI2022_Priority_65,C17H28O6,CC1CC(C2C(C(C3(C2(C1C(OC3)O)O)C)O)(C)C)OC(=O)C,QFIZHIXXEOCVCR-QGCDZIMUSA-N,[M+Cl]-,negative
challenge_66,393.1919 ,CASMI2022_Priority_66,C20H28O5,CC1=CC(C(C1=O)C=C(C)CCC=C2CCC(OC2=O)C(C)(C)O)O,IHDNCMDRDAONNT-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_67,811.4485 ,CASMI2022_Priority_67,C41H66O13,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1(C)O)C)C(=O)O,WBDDWIKJZNNKBQ-ZQUYRLKRSA-N,[M+FA-H]-,negative
challenge_68,442.1530 ,CASMI2022_Priority_68,C20H27NO8S,CC(=O)NC(CSCC(=O)C12CC(CC1C=C(C2CC(=O)O)C(=O)O)(C)C)C(=O)O,AGBBJVFSJVBRRY-UHFFFAOYSA-N,[M+H]+,positive
challenge_69,313.1622 ,CASMI2022_Priority_69,C14H26O6,C(CCCC(C(CCCC(=O)O)O)O)CCCC(=O)O,JCOCIXAHAFALHI-UHFFFAOYSA-N,[M+Na]+,positive
challenge_70,350.2173 ,CASMI2022_Priority_70,C16H28O7,CC(=CCC=C(C)C(CO)OC1C(C(C(C(O1)CO)O)O)O)C,JPFNJNIYHKVTDX-ZMAWNPEZSA-N,[M+NH4]+,positive
challenge_71,652.2964 ,CASMI2022_Priority_71,C32H42O13,CC1(C2CC(=O)C3(C(C2(C=CC(=O)O1)C)CCC(C34C(O4)C(=O)O)(C)C(C5=COC=C5)OC6C(C(C(C(O6)CO)O)O)O)C)C,MXZVBPOYCKIXHN-FFTVMPBDSA-N,[M+NH4]+,positive
challenge_72,405.2646 ,CASMI2022_Priority_72,C24H38O5,CC(C)C(=O)OCC1CC23CCC4C(C2CCC1C3)(CCCC4(CO)C(=O)O)C,FSQYXTHPPSJGNG-CSJFXCTJSA-N,[M-H]-,negative
challenge_73,181.0870 ,CASMI2022_Priority_73,C10H14O3,CC1=C(C(CCC1=O)(C)C)C(=O)O,NCJFEURQKCATER-UHFFFAOYSA-N,[M-H]-,negative
challenge_74,299.0561 ,CASMI2022_Priority_74,C16H12O6,COC1=C(C=CC(=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)O,ZMFBGWWGXBNJAC-UHFFFAOYSA-N,[M-H]-,negative
challenge_75,585.2406 ,CASMI2022_Priority_75,C33H33FN2O4,CC(C)C1=C(C(=C(N1CCC2CC(CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5,OUCSEDFVYPBLLF-KAYWLYCHSA-N,[M+FA-H]-,negative
challenge_76,268.1696 ,CASMI2022_Priority_76,C18H21NO,CC(C)(C)C1=CC=C(C=C1)C(=O)N(C)C2=CC=CC=C2,HIYAQBUTHPUUSV-UHFFFAOYSA-N,[M+H]+,positive
challenge_77,414.0215 ,CASMI2022_Priority_77,C16H17BrClN3O3,C1CC(C(NC1)CC(=O)CN2C=NC3=CC(=C(C=C3C2=O)Cl)Br)O,LVASCWIMLIKXLA-LSDHHAIUSA-N,[M+H]+,positive
challenge_78,628.7926 ,CASMI2022_Priority_78,C12H11I3N2O4,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I,GGGDNPWHMNJRFN-UHFFFAOYSA-N,[M+H]+,positive
challenge_79,435.1427 ,CASMI2022_Priority_79,C19H28O9,CC1=C(C(=C(C(=C1O)C(=O)CC(C)C)OC2C(C(C(C(O2)CO)O)O)O)C)O,XPIZBBYHXMPNEG-SQUCUVIGSA-N,[M+Cl]-,negative
challenge_80,408.2592 ,CASMI2022_Priority_80,C19H34O8,CC1CC(CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C)O,MRPDHXXPDCVBPQ-NTTCMOHZSA-N,[M+NH4]+,positive
challenge_81,603.1684 ,CASMI2022_Priority_81,C27H32O14,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC4C(C(C(C(O4)CO)O)O)O)OC,MSTIUVOQDAVXIA-SATOHXPNSA-N,[M+Na]+,positive
challenge_82,336.1054 ,CASMI2022_Priority_82,C14H19NO7,C1C(C=CC(=CC#N)C1OC2C(C(C(C(O2)CO)O)O)O)O,UTHVFIKQCUKKQW-BKZLMLJWSA-N,[M+Na]+,positive
challenge_83,652.4419 ,CASMI2022_Priority_83,C36H58O9,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O,HZKJZYRLLBKBHA-DHRWMAOJSA-N,[M+NH4]+,positive
challenge_84,373.0565 ,CASMI2022_Priority_84,C18H14O9,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C4C(OC(=O)C4=C3C)O)O)CO)O,DFPWLQCOSHYAIG-GOSISDBHSA-N,[M-H]-,negative
challenge_85,371.1136 ,CASMI2022_Priority_85,C20H20O7,COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)C=CC(=O)O,FHYQIQMSODIFCP-UHFFFAOYSA-N,[M-H]-,negative
challenge_86,165.0557 ,CASMI2022_Priority_86,C9H10O3,CC1=CC(=CC(=C1C(=O)C)O)O,GQXZUABNLSWQJA-UHFFFAOYSA-N,[M-H]-,negative
challenge_87,235.1704 ,CASMI2022_Priority_87,C15H24O2,CC=C(C)CCC=C(CCC=C(C)C)C(=O)O,JWBZQRMMZRWOSE-UHFFFAOYSA-N,[M-H]-,negative
challenge_88,447.2752 ,CASMI2022_Priority_88,C26H40O6,CC(C)C(=O)OCC1CC23CCC4C(C2CCC1C3)(CCCC4(COC(=O)C)C(=O)O)C,YXAGJAFSQKHJEB-JACRPAJASA-N,[M-H]-,negative
challenge_89,670.6203 ,CASMI2022_Priority_89,C12H18Br6,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,DEIGXXQKDWULML-UHFFFAOYSA-N,[M+Cl]-,negative
challenge_90,88.0757 ,CASMI2022_Priority_90,C4H9NO,CCC(=NO)C,WHIVNJATOVLWBW-SNAWJCMRSA-N,[M+H]+,positive
challenge_91,812.4804 ,CASMI2022_Priority_91,C43H65N5O10,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,LJVAJPDWBABPEJ-XZVSULPPSA-N,[M+H]+,positive
challenge_92,449.0987 ,CASMI2022_Priority_92,C21H19ClN4O4,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,WOSKHXYHFSIKNG-UHFFFAOYSA-N,[M+Na]+,positive
challenge_93,441.0958 ,CASMI2022_Priority_93,C20H22O9,C1=CC(=CC=C1CO)OC2C(C(C(C(O2)COC(=O)C3=CC=C(C=C3)O)O)O)O,LIGHTUNOZWZMMP-CBNQQXHVSA-N,[M+Cl]-,negative
challenge_94,427.0954 ,CASMI2022_Priority_94,C23H20O6,CC(C)(C1CC2=C(O1)C=CC3=C2OC(=O)C=C3)OC(=O)C=CC4=CC=C(C=C4)O,YPULLITUOWRRPG-LJQANCHMSA-N,[M+Cl]-,negative
