Index,Precursor mz,Challenge,Formula,SMILES,InChIkey,Adduct,Ion mode
challenge_95,542.3698 ,CASMI2022_Priority_95,C28H51NO6,CCCCCC=CCC=CCCCCCCCC(=O)OCC(COCCC(C(=O)[O-])[N+](C)(C)C)O,MBBOPONQLZPJRT-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_96,339.0408 ,CASMI2022_Priority_96,C12H16Cl2O4,COC1=CC(=CC(=C1)O)CC(CC(C(Cl)Cl)O)O,MMMZDSQYAMMVEG-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_97,335.2217 ,CASMI2022_Priority_97,C20H30O4,CC12CCC3C(C1OCC2)C(=O)CC4C3(CCCC4(C)C(=O)O)C,KKUZEALMRZIWAJ-UHFFFAOYSA-N,[M+H]+,positive
challenge_98,267.1591 ,CASMI2022_Priority_98,C15H22O4,CC(=CCCC(=CCCC(=CC(=O)O)C)C(=O)O)C,UIDKGJWCHCMTEG-UHFFFAOYSA-N,[M+H]+,positive
challenge_99,636.4470 ,CASMI2022_Priority_99,C36H58O8,CC(CCC(C(C)(C)O)O)C1CCC2(C1(CCC3=C2CCC4C3(CC(C(=O)C4(C)C)OC(=O)CC(C)(CC(=O)O)O)C)C)C,FNHDSKHVYPYDAZ-QXBAYVDYSA-N,[M+NH4]+,positive
challenge_100,542.1657 ,CASMI2022_Priority_100,C27H24O11,C1C2=C(C(=C3C(=C2)C=CC=C3OC4C(C(C(C(O4)COC(=O)C=CC5=CC=C(C=C5)O)O)O)O)O)C(=O)O1,ZPUVNNIJVVEZBH-CMBBOZRESA-N,[M+NH4]+,positive
challenge_101,327.0309 ,CASMI2022_Priority_101,C14H14Cl2N2O3,CC=C1C(=O)N(C(C(=O)N1)CC2=CC(=C(C(=C2)Cl)O)Cl)C,AEFDYPFFZOCXNS-NSHDSACASA-N,[M-H]-,negative
challenge_102,401.1242 ,CASMI2022_Priority_102,C21H22O8,COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C(=C3)OC)O)OC)C=CC(=O)O,MXADFNHTWMJYES-XOBRGWDASA-N,[M-H]-,negative
challenge_103,110.0600 ,CASMI2022_Priority_103,C6H7NO,CN1C=CC=CC1=O,DVVGIUUJYPYENY-UHFFFAOYSA-N,[M+H]+,positive
challenge_104,457.2016 ,CASMI2022_Priority_104,C22H28N6O3S,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,WHBIGIKBNXZKFE-UHFFFAOYSA-N,[M+H]+,positive
challenge_105,484.2166 ,CASMI2022_Priority_105,C28H29N5OS,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5,BWZJBXAPRCVCKQ-UHFFFAOYSA-N,[M+H]+,positive
challenge_106,791.2615 ,CASMI2022_Priority_106,C33H46O19,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=COC(C(C4CC=O)C=C)OC5C(C(C(C(O5)CO)O)O)O,GXXXVFMBJGIYPK-IRWFNEAJSA-N,[M+FA-H]-,negative
challenge_107,491.1406 ,CASMI2022_Priority_107,C19H26O12,C1C(C(C(O1)OCC2C(C(C(C(O2)OCC3=CC4=C(C=C3)OCO4)O)O)O)O)(CO)O,PPLHEXYBZJOGTR-DHKQUUGRSA-N,[M+FA-H]-,negative
challenge_108,485.2194 ,CASMI2022_Priority_108,C27H28N4O2,CC(C)(C=C)N1C=C(C2=CC=CC=C21)CC3C(=O)NC(C(=O)N3)CC4=CNC5=CC=CC=C54,XMXNEUOHSHGXTJ-GOTSBHOMSA-N,[M+FA-H]-,negative
challenge_109,377.1817 ,CASMI2022_Priority_109,C16H28O7,CC1(C2CC(C1(CC2OC3C(C(C(C(O3)CO)O)O)O)C)O)C,YBNGMZMKEPSDPI-LGZJULIWSA-N,[M+FA-H]-,negative
challenge_110,827.4435 ,CASMI2022_Priority_110,C41H66O14,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)CO,YSFNIMJWUPAQKC-RZHLFJOWSA-N,[M+FA-H]-,negative
challenge_111,395.2329 ,CASMI2022_Priority_111,C24H30N2O3,CCC1CC2CC3(C1N(C2CC(=O)C)CCC4=C3NC5=CC=CC=C45)C(=O)OC,UMPABASQXRRHQB-YSGOIBPISA-N,[M+H]+,positive
challenge_112,333.2060 ,CASMI2022_Priority_112,C20H28O4,CC1=CC(=O)OC1CC=C(C)CCC=C(CCC=C(C)C)C(=O)O,ZNBQWPMZFPFCKS-GOSISDBHSA-N,[M+H]+,positive
challenge_113,741.3245 ,CASMI2022_Priority_113,C41H50O11,CC1C(C(OC1C2=CC(=C(C=C2)OC(C)C(C3=CC(=C(C=C3)O)OC)O)OC)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)OC)O)OC)C,CPGFYBGUXQXJMQ-KZQPWMIESA-N,[M+Na]+,positive
challenge_114,325.2349 ,CASMI2022_Priority_114,C17H34O4,CC(CC(C)O)C(CCCCCCCCCCC(=O)O)O,VUHKKYAXFCILCE-UHFFFAOYSA-N,[M+Na]+,positive
challenge_115,313.0484 ,CASMI2022_Priority_115,C14H15ClO6,CC(CC(CC1=CC2=C(C(=CC(=C2Cl)O)O)C(=O)O1)O)O,YDFWTYLPMZZSLA-UHFFFAOYSA-N,[M-H]-,negative
challenge_116,145.0760 ,CASMI2022_Priority_116,C9H8N2,C1=CC2=C(C=CN=C2)C(=C1)N,DTVYNUOOZIKEEX-UHFFFAOYSA-N,[M+H]+,positive
challenge_117,488.8968 ,CASMI2022_Priority_117,C20H10Br2O5,C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)Br)OC5=C3C=CC(=C5Br)O,ZDTNHRWWURISAA-UHFFFAOYSA-N,[M+H]+,positive
challenge_118,524.2805 ,CASMI2022_Priority_118,C29H43NO4S,CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C,PTQXTEKSNBVPQJ-UHFFFAOYSA-N,[M+Na]+,positive
challenge_119,469.0907 ,CASMI2022_Priority_119,C21H22O10,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O,KSDSYIXRWHRPMN-UHFFFAOYSA-N,[M+Cl]-,negative
challenge_120,537.1977 ,CASMI2022_Priority_120,C25H32O10,COC1=C(C=C2C(C(C(CC2=C1)CO)COC3C(C(C(CO3)O)O)O)C4=CC(=C(C=C4)O)OC)O,TXSJJCSJHIDTDE-MZDBWQKZSA-N,[M+FA-H]-,negative
challenge_121,429.2272 ,CASMI2022_Priority_121,C25H32O6,CCC(C)C=C(C)C=CC(=O)OC1C=CC2=CC(=O)C(CC2(C1C)C)(C(=C)C(=O)O)O,OFDBBWUQAHAKDG-PREJITOJSA-N,[M+H]+,positive
challenge_122,657.3973 ,CASMI2022_Priority_122,C36H58O9,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1(C)O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O,RRIMLWHUVCZACL-WHGXRBQASA-N,[M+Na]+,positive
challenge_123,944.5213 ,CASMI2022_Priority_123,C47H74O18,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC(C6=C7C(C8(CCC7(CCC65C)C(=O)O8)C)(C)O)O)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O,MOVNHXBNDSZSGK-JPYQVWQLSA-N,[M+NH4]+,positive
challenge_124,620.3218 ,CASMI2022_Priority_124,C36H42O8,CC1CC2(C(C1OC(=O)C3=CC=CC=C3)C=C(C(CC(=O)C(C=CC(C2OC(=O)C)C)(C)C)OC(=O)C4=CC=CC=C4)C)O,ULYZLNNPRNDNFD-ZICLEKGPSA-N,[M+NH4]+,positive
challenge_125,955.4544 ,CASMI2022_Priority_125,C47H72O20,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OC3C(CC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(=C)CC7)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)C(=O)O)O)O)O)O,CDJVLCFAYOIREA-OFCFZGJQSA-N,[M-H]-,negative
challenge_126,253.1445 ,CASMI2022_Priority_126,C14H22O4,CC(CCC=C(CCC=C(C)C)C(=O)O)C(=O)O,NLMAGFGYJVPKJJ-NSHDSACASA-N,[M-H]-,negative
challenge_127,389.0878 ,CASMI2022_Priority_127,C19H18O9,CC1=CC(=C(C(=C1C(=O)OC)OC2=C(C(=CC(=C2C)OC)C(=O)O)O)C=O)O,ONSPHUIOGAJFGD-UHFFFAOYSA-N,[M-H]-,negative
challenge_128,1195.5906 ,CASMI2022_Priority_128,C60H92O24,CC=C(C)C(=O)OC1C(OC(C(C1OC(=O)C(=CC)C)O)OC2C(C3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)CO)OC7C(C(C(C(O7)C(=O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C)C,YWRZZQBSAZIBEQ-ZPKFMWSBSA-N,[M-H]-,negative
challenge_129,173.0474 ,CASMI2022_Priority_129,C6H9N2O2P,C1=CC=C(C=C1)OP(=O)(N)N,AYRRNFHDJUXLEQ-UHFFFAOYSA-N,[M+H]+,positive
challenge_130,528.3378 ,CASMI2022_Priority_130,C24H46O11,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,NLEBIOOXCVAHBD-QKMCSOCLSA-N,[M+NH4]+,positive
challenge_131,719.3496 ,CASMI2022_Priority_131,C33H54O14,CC(=CCCC(C)(C=C)OC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O)CCC=C(C)CC(C=C(C)C(=O)OC)O,LAMRTXHVEXWMOH-PVNJHXBISA-N,[M+FA-H]-,negative
challenge_132,577.3018 ,CASMI2022_Priority_132,C30H44O8,CCCC(C(C=CC(=O)OC1CC2C(C2(C)C)C=C(C(=O)C3(CC(C(C3C=C1C)O)C)OC(=O)C)C)O)O,NBEYAEFZGDUVGW-MBKLMEFLSA-N,[M+FA-H]-,negative
challenge_133,739.2444 ,CASMI2022_Priority_133,C34H42O18,CC(CC(=O)OC)(CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=C(C(=C3OC)OC)OC)OC)C4=CC(=C(C=C4)OC)OC)O)O)O)O,JDYWLRRIZNBKMP-IKRGWGHGSA-N,[M+H]+,positive
challenge_134,501.1367 ,CASMI2022_Priority_134,C23H26O11,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=CC(=CC=C4)O,RBTWPFBRVJRSRZ-XRNSGXKGSA-N,[M+Na]+,positive
challenge_135,274.2377 ,CASMI2022_Priority_135,C15H28O3,CC12CCC(CC1C(CCC2O)(C)O)C(C)(C)O,ODDNJYHUVXKJBI-UHFFFAOYSA-N,[M+NH4]+,positive
challenge_136,270.2064 ,CASMI2022_Priority_136,C15H24O3,CC12CCC(C3C1C(C(C3C2=C)O)O)C(C)(C)O,ZQCSOQVURYSVKL-DHMVUYJDSA-N,[M+NH4]+,positive
challenge_137,529.1927 ,CASMI2022_Priority_137,C24H34O13,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C(=C(C=C3)O)C)CC=C(C)C(=O)O)O)O)O)O)O)O,CPTNKRLUDCGSPQ-GCFZLKQZSA-N,[M-H]-,negative
challenge_138,343.1551 ,CASMI2022_Priority_138,C20H24O5,CC(CC1=CC(=C(C=C1)O)OC)C(C)CC2=CC3=C(C=C2O)OCO3,DIADZLCOROOTGN-OLZOCXBDSA-N,[M-H]-,negative
challenge_139,287.1500 ,CASMI2022_Priority_139,C14H24O6,C(CCC(=O)O)CC=CCC(C(CCCC(=O)O)O)O,JDJWBXPQIRDCOI-UHFFFAOYSA-N,[M-H]-,negative
challenge_140,98.0964 ,CASMI2022_Priority_140,C6H11N,C=CCNCC=C,DYUWTXWIYMHBQS-UHFFFAOYSA-N,[M+H]+,positive
challenge_141,212.0818 ,CASMI2022_Priority_141,C12H9N3O,C1=CC=C2C(=C1)C(=CC3=CN=CN3)C(=O)N2,VEEGZPWAAPPXRB-YHYXMXQVSA-N,[M+H]+,positive
challenge_142,955.4908 ,CASMI2022_Priority_142,C47H74O17,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC78C6C(C(CC7)(OC8=O)C)(C)O)C)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O,DPEYAJFUJJMJNO-JOQVNCSISA-N,[M+FA-H]-,negative
challenge_143,811.4485 ,CASMI2022_Priority_143,C41H66O13,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)O)O)O)C)CC=C5C3(CCC6(C5CC(CC6)(C)CO)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C,JUQZBNSNCFPQEN-QEONLWONSA-N,[M+FA-H]-,negative
challenge_144,358.1144 ,CASMI2022_Priority_144,C14H19NO7,C1C(C=CC(=CC#N)C1OC2C(C(C(C(O2)CO)O)O)O)O,UTHVFIKQCUKKQW-QPQKLBPSSA-N,[M+FA-H]-,negative
challenge_145,581.1876 ,CASMI2022_Priority_145,C26H32O12,COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O)O,VXYKGOAXVHSLDD-ATALQWSYSA-N,[M+FA-H]-,negative
challenge_146,349.2009 ,CASMI2022_Priority_146,C20H28O5,CC=C(C)C(=O)OC1CC(C2(CC3=C(C(=O)OC3(CC2C1)O)C)C)C,BNKQCXTYXHSKGJ-XJXKWIQZSA-N,[M+H]+,positive
challenge_147,267.1591 ,CASMI2022_Priority_147,C15H22O4,CC1=C(CC2(C13CCC(C3CC2)(CO)O)C)C(=O)O,QEXBXSJDNHRVSH-MHEUCROKSA-N,[M+H]+,positive
challenge_148,353.2047 ,CASMI2022_Priority_148,C16H30N2O5,CC(C)CCCCCCC(CC(=O)NC(CC(=O)O)C(=O)N)O,KMSCXNAPFWQQKD-UHFFFAOYSA-N,[M+Na]+,positive
challenge_149,542.2596 ,CASMI2022_Priority_149,C26H36O11,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC)CO)O,PCWPSOCJBMEHGK-BZKLREMRSA-N,[M+NH4]+,positive
challenge_150,399.2752 ,CASMI2022_Priority_150,C22H40O6,CCCCCCCCCCCC(=O)OC(C(C)C)C(C(=O)O)OC(=O)C(C)C,FLVBOVQKMCPBFE-UHFFFAOYSA-N,[M-H]-,negative
challenge_151,127.0754 ,CASMI2022_Priority_151,C7H10O2,CC1CC(C(=O)C1=O)C,MIDXCONKKJTLDX-UHFFFAOYSA-N,[M+H]+,positive
challenge_152,228.2322 ,CASMI2022_Priority_152,C14H29NO,CCCCCCCCCCCCCC(=O)N,QEALYLRSRQDCRA-UHFFFAOYSA-N,[M+H]+,positive
challenge_153,335.1743 ,CASMI2022_Priority_153,C15H28N2O4,CC(C)CCCCCCCC(=O)NC(CC(=O)O)C(=O)N,LZOJNMQMOSTOHX-LBPRGKRZSA-N,[M+Cl]-,negative
challenge_154,963.4726 ,CASMI2022_Priority_154,C47H76O18,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC(C6C(=O)C)(CCC(C)O)C(=O)O)C)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O,OWZYYRSRGCPFKQ-HMMRWYOQSA-N,[M+Cl]-,negative
challenge_155,859.2433 ,CASMI2022_Priority_155,C38H48O20,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)CO)O)O)O)O)O,WCUYANMOZSMFCP-CFKLRSBVSA-N,[M+Cl]-,negative
challenge_156,855.4384 ,CASMI2022_Priority_156,C42H66O15,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)OC7C(C(C(C(O7)CO)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C(=O)OC,NMDFCFOQBAHNPV-IWIVWMRFSA-N,[M+FA-H]-,negative
challenge_157,319.2268 ,CASMI2022_Priority_157,C20H30O3,CC1CCC2(C(C1(C)CCC(=CC(=O)O)C)CC(=C2C)C=O)C,JIKPDGHCTOSDJA-UHFFFAOYSA-N,[M+H]+,positive
challenge_158,485.2170 ,CASMI2022_Priority_158,C27H32O8,CCCCCC1=CC2=CC(=CC(=C2C(=O)O1)OC3=C(C(=C(C=C3O)OC)C(=O)O)CCCCC)O,WAVKNSMRCWYDDL-UHFFFAOYSA-N,[M+H]+,positive
challenge_159,603.2048 ,CASMI2022_Priority_159,C28H36O13,CC(=O)OCC1C(COC1C2=CC(=C(C=C2)O)OC)C(C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O,AKEQVUOZQNGJQC-UHFFFAOYSA-N,[M+Na]+,positive
challenge_160,424.1966 ,CASMI2022_Priority_160,C21H26O8,CC1COC2(C1(C(=O)C3=C(C2=O)C45CCCC(C4C(C3OC)OC5=O)(C)C)O)O,RQYZKRVLMHQSMS-UHFFFAOYSA-N,[M+NH4]+,positive
challenge_161,329.0878 ,CASMI2022_Priority_161,C14H18O9,COC(=O)C1=C(C(=CC=C1)OC2C(C(C(C(O2)CO)O)O)O)O,VSTYNZNDJYVPKL-CTYVSURLSA-N,[M-H]-,negative
challenge_162,215.9655 ,CASMI2022_Priority_162,C7H6BrNO2,COC(=O)C1=NC(=CC=C1)Br,SGNCOKUHMXLGAH-UHFFFAOYSA-N,[M+H]+,positive
challenge_163,268.0704 ,CASMI2022_Priority_163,C9H12FN3O4,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)F,NVZFZMCNALTPBY-XVFCMESISA-N,[M+Na]+,positive
challenge_164,664.6910 ,CASMI2022_Priority_164,C19H10Br4O5S,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,UDSAIICHUKSCKT-UHFFFAOYSA-N,[M-H]-,negative
challenge_165,1307.6277 ,CASMI2022_Priority_165,C61H98O27,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)CO)O)O)O)COC(=O)C)O)O)O,NNIRVDLUHWUBSX-NBIDALDTSA-N,[M+FA-H]-,negative
challenge_166,377.1970 ,CASMI2022_Priority_166,C20H28O4,CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CC(=C2C)C=O)C,NZIQEPLIKSMSRT-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_167,1103.5644 ,CASMI2022_Priority_167,C53H86O21,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O,ULSOTXJNUTYKRK-NLUBGPCESA-N,[M+FA-H]-,negative
challenge_168,705.2389 ,CASMI2022_Priority_168,C34H40O16,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)O)O)OC(=O)C,ABAIOHPURNHXKB-JWFSFCLHSA-N,[M+H]+,positive
challenge_169,249.1485 ,CASMI2022_Priority_169,C15H20O3,CC1(C2C1C=C(CCC(=O)C(=C)CC2)C(=O)O)C,JSWXKFCFVRCREF-NEPJUHHUSA-N,[M+H]+,positive
challenge_170,561.1215 ,CASMI2022_Priority_170,C24H26O14,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O)OC4C(C(C(C(O4)CO)O)O)O)O,PRBUAZIWXABBBW-AFNDXPGZSA-N,[M+Na]+,positive
challenge_171,424.1731 ,CASMI2022_Priority_171,C22H27NO6,CCC(C)C1C(=O)C(C(=O)N1)(C2=CC3=C(C(C2=O)(C)CC)OC(=C(C3=O)C)C)O,VBTZAIPQSNXYCM-BXAUHREASA-N,[M+Na]+,positive
challenge_172,1094.5953 ,CASMI2022_Priority_172,C49H88O25,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)OC)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O,IESDYJUGZCFEQG-UHFFFAOYSA-N,[M+NH4]+,positive
challenge_173,371.1711 ,CASMI2022_Priority_173,C18H28O8,CCC=CCC1(CCC=CC1C(=O)O)OC2C(C(C(C(O2)CO)O)O)O,OQWLWGHVEYZMLN-GHLGXFJJSA-N,[M-H]-,negative
challenge_174,1103.5280 ,CASMI2022_Priority_174,C53H84O24,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)C(=O)O)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C,VQMRBUNQTLAATK-JOUDUNFKSA-N,[M-H]-,negative
challenge_175,792.6584 ,CASMI2022_Priority_175,C14H8I4O4,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(=O)O,PPJYSSNKSXAVDB-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_176,114.1277 ,CASMI2022_Priority_176,C7H15N,C1CCC(CC1)CN,AVKNGPAMCBSNSO-UHFFFAOYSA-N,[M+H]+,positive
challenge_177,282.1700 ,CASMI2022_Priority_177,C15H23NO4,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,UVZTZBRGZXIBLZ-UHFFFAOYSA-N,[M+H]+,positive
challenge_178,411.1063 ,CASMI2022_Priority_178,C16H24O10,CC1(C2CCC(C1C(=O)OC)O2)C(=O)OC3C(C(C(C(O3)CO)O)O)O,FVAIJXKCYZKCGF-FFBHLRJYSA-N,[M+Cl]-,negative
challenge_179,385.1351 ,CASMI2022_Priority_179,C13H24O10,CCOC1C(C(C(CO1)O)O)OC2C(C(C(C(O2)CO)O)O)O,CMXKPYSXVVBBDY-KUBZZJBSSA-N,[M+FA-H]-,negative
challenge_180,449.1453 ,CASMI2022_Priority_180,C21H24O8,COC1=C(C=CC(=C1)C=CC(=O)OC)OC2=C(C=C(C=C2)C(C(CO)O)O)OC,IVDMSWPOHFCIHO-YCRPNKLZSA-N,[M+FA-H]-,negative
challenge_181,407.1348 ,CASMI2022_Priority_181,C19H22O7,COC1=C(C=CC(=C1)C(C2COC(C2CO)C3=CC(=C(C=C3)O)O)O)O,PMALFGMVFUCPMK-UHFFFAOYSA-N,[M+FA-H]-,negative
challenge_182,331.1904 ,CASMI2022_Priority_182,C20H26O4,CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C(=O)O)O,XYZWRQXZTNPKPD-OZBJMMHXSA-N,[M+H]+,positive
challenge_183,169.1223 ,CASMI2022_Priority_183,C10H16O2,CC1=CC(C(CC1=O)C(C)C)O,ZFUJCNJIGDBFEP-UHFFFAOYSA-N,[M+H]+,positive
challenge_184,513.2360 ,CASMI2022_Priority_184,C29H34N2O5,CC1CC=CC2C(C(=C(C3C2(C(=O)C4C(O4)C(C1)O)C(=O)NC3CC5=CNC6=CC=CC=C65)C)C)O,DAOMSLPFWWIXQB-UHFFFAOYSA-N,[M+Na]+,positive
challenge_185,279.1931 ,CASMI2022_Priority_185,C15H28O3,CC12CCC(CC1C(CCC2O)(C)O)C(C)(C)O,ODDNJYHUVXKJBI-MIBAYGRRSA-N,[M+Na]+,positive
challenge_186,654.4576 ,CASMI2022_Priority_186,C36H60O9,CC(CCC(C(C)(C)O)O)C1CCC2(C1(C(CC3=C2CCC4C3(CC(C(C4(C)C)OC(=O)CC(C)(CC(=O)O)O)O)C)O)C)C,VWKSQQHPNMUNOC-UHFFFAOYSA-N,[M+NH4]+,positive
