,Challenge,True Inchikey2D,SIRIUS Ranking,MSFinder Ranking,DeepMASS Ranking,DeepMASS Ranking (Public),MetFrag Ranking,CFM-ID Ranking,SMILES
0,challenge_0,ZUDBDCBPZHGAEL,inf,5.0,2.0,2.0,4.0,3.0,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O
1,challenge_1,ZKCHQVRAXCCTLE,inf,inf,inf,inf,inf,inf,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)O)C)C)C
2,challenge_2,UYALDZZEAZIEME,2.0,2.0,2.0,2.0,2.0,1.0,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C
3,challenge_3,IFQVIMQHTPDZQU,inf,inf,inf,inf,inf,inf,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(CC(C)C)O
4,challenge_4,XPXRFYSHQGUVFK,41.0,2.0,1.0,1.0,8.0,62.0,CC1CC2(C(C1O)C=C(C(CC3C(C3(C)C)C=C(C2=O)C)OC(=O)CCC(=O)O)C)OC(=O)C
5,challenge_5,XPCKJVBBSBPFQL,1.0,,4.0,4.0,1.0,2.0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)O)C)O)O)O)COC(=O)C)O)O)O
6,challenge_6,LYKXPTCUGPKDQL,9.0,inf,6.0,11.0,16.0,16.0,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
7,challenge_7,RZCUHAHZISRSJD,11.0,inf,4.0,2.0,3.0,1.0,CCCCCCCCCC(=O)OC(C(C(C)C)OC(=O)C(C)C)C(=O)O
8,challenge_8,WKEMJKQOLOHJLZ,1.0,1.0,1.0,1.0,1.0,1.0,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
9,challenge_9,YBSJFWOBGCMAKL,1.0,1.0,1.0,1.0,1.0,1.0,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N
10,challenge_10,MJNIWUJSIGSWKK,1.0,2.0,1.0,1.0,2.0,1.0,CCCC(=O)OCC(C(C(CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC
11,challenge_11,SIVYRLBDAPKADZ,inf,4.0,6.0,1.0,5.0,5.0,CC1=CC=C(C2=CC=CC=C12)C(=O)O
12,challenge_12,FTUCJLKRCLNNPB,inf,inf,26.0,25.0,20.0,20.0,CC1CC(OC2(C1C3(CCC45CC46CCC(C(C6CC=C5C3(C2O)C)(C)C)OC7C(C(C(CO7)O)O)O)C)O)C(C(C)(C)O)OC(=O)C
13,challenge_13,WNRDHIDWADTLIO,inf,9.0,2.0,2.0,44.0,9.0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C
14,challenge_14,FYGSMJAMPMZYFS,4.0,inf,6.0,7.0,31.0,26.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)C2C1(C)O)C)C(=O)O
15,challenge_15,QMMMQWRPZIJGPT,27.0,5.0,63.0,71.0,3.0,19.0,CCC1(C(=O)C=CC2=C1OC(=C(C2=O)C)C)C
16,challenge_16,SFLNQLHULUYBES,inf,4.0,1.0,1.0,4.0,4.0,CC1(CCC2C3(CCCC(C3CC(C2(C1)O)O)(C)C(=O)O)C)C(COC4C(C(C(C(O4)CO)O)O)O)O
17,challenge_17,BQIUFGZODBARSL,inf,inf,1.0,1.0,inf,inf,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O
18,challenge_18,CGWRDLSMEFSEDN,4.0,inf,12.0,14.0,5.0,12.0,COC1=CC(=C(C=C1)CCC(=O)O)O
19,challenge_19,SRPODRMTMBGGLK,inf,inf,inf,inf,inf,inf,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC(C(=C)C)O)C4=CC=C(C=C4)OC)O)O)O
20,challenge_20,VCSUYXUJFRFUEL,10.0,9.0,4.0,10.0,2.0,2.0,CC1=C(C=C(C=C1)C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4)C)O)O
21,challenge_21,YDBLKRPLXZNVNB,1.0,1.0,1.0,1.0,1.0,1.0,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O
22,challenge_22,MJEXYQIZUOHDGY,1.0,6.0,2.0,1.0,1.0,2.0,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
23,challenge_23,MWRVRCAFWBBXTL,4.0,8.0,5.0,5.0,2.0,5.0,C1=CC(=C(C=C1O)C(=O)O)C(=O)O
24,challenge_24,FMERKDCSVVHBLX,inf,,inf,inf,inf,inf,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C
25,challenge_25,ZYRLCOGVOHEKBK,inf,inf,inf,inf,inf,inf,CC(C)NC(=O)CCC1=CC=CC=C1
26,challenge_26,CNWZWVFEXLYSBT,6.0,1.0,7.0,4.0,7.0,4.0,CC1CC(OC(=O)C1C2(CCC34CC35CCC(C(C5CCC4C2(C)C(=O)O)(C)C)OC6C(C(C(CO6)O)O)O)C)C(C(C)(C)O)OC(=O)C
27,challenge_27,UDWINLZYCCTMBM,2.0,3.0,2.0,10.0,13.0,1.0,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)O)O)OC)C
28,challenge_28,DXKIYFYDJGEVJY,1.0,,1.0,1.0,1.0,1.0,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O
29,challenge_29,BRDVWIOUHLWIGN,1.0,2.0,1.0,1.0,2.0,1.0,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O
30,challenge_30,LIIDAMUJPFBXAR,inf,inf,inf,inf,inf,inf,COC1=CC(=CC(=C1O)C2C(C(C(C(O2)CO)O)O)O)CC3COC(=O)C3(CC4=CC(=C(C=C4)O)OC)O
31,challenge_31,OIUPBOONLQPLQI,inf,inf,14.0,8.0,27.0,12.0,CCCCCC1C(=C(C(=O)O1)C)C(=O)O
32,challenge_32,YVJQQTNULQIMBG,inf,inf,inf,inf,inf,inf,CC(CCCC(=CCO)C)C(=O)O
33,challenge_33,NEYKRKVLEWKOBI,2.0,2.0,1.0,1.0,2.0,2.0,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCC)C
34,challenge_34,SWZDQOUHBYYPJD,inf,1.0,1.0,2.0,2.0,1.0,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC
35,challenge_35,OPIFSICVWOWJMJ,1.0,1.0,1.0,1.0,1.0,1.0,C1=CC(=C(C2=C1NC=C2OC3C(C(C(C(O3)CO)O)O)O)Cl)Br
36,challenge_36,ZZUQWNYNSKJLPI,1.0,1.0,1.0,1.0,1.0,1.0,C1=CC=C2C(=C1)N=C(S2)SCC(=O)O
37,challenge_37,KGBKYZFFQHZKLE,75.0,inf,49.0,43.0,11.0,39.0,CCCC(C1=C(OC(=O)C=C1)CO)O
38,challenge_38,UKWNFIJQRGRIDQ,inf,inf,inf,inf,inf,inf,CC=C(C)CC(C)C1C(C(C(C(=O)O1)(C)O)O)C
39,challenge_39,WICIOAMNFCXLEV,3.0,inf,27.0,27.0,25.0,12.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1(C)O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O
40,challenge_40,ODEUPBSFCFNAST,34.0,inf,335.0,248.0,61.0,471.0,CC1=C(CC2(C13CCC(C3CC2)(C)O)C)C(=O)O
41,challenge_41,WYOIVALENVXRJQ,inf,inf,inf,inf,inf,inf,CCCC1=C(C=CC(=O)O1)C(CO)O
42,challenge_42,NRLCQITWKJENAT,inf,inf,61.0,29.0,56.0,22.0,CC=C(C)C1=CC(=C(C(=O)O1)C)OC
43,challenge_43,OQQOYQUBUVPAAU,inf,10.0,20.0,10.0,33.0,4.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1(C)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
44,challenge_44,HAVCNTVVRPOVNT,inf,inf,1.0,1.0,inf,inf,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)OC(C(C(=O)OC)O)OC(C)C(=O)O)O)O
45,challenge_45,UFUCTYSVQPEEFA,41.0,inf,70.0,66.0,40.0,193.0,CC1(C2C1C=C(CCC(C(=C)CC2)O)C(=O)O)C
46,challenge_46,WOPHEEXRJKUYKQ,inf,inf,inf,inf,inf,inf,CC1C=CC2CCCCC2C1C3=CC(=C(C(=O)O3)C=O)NC(C)C(=O)O
47,challenge_47,JMZOMFYRADAWOG,2.0,inf,20.0,4.0,23.0,23.0,COC1=C2C(=C(C(=C1)C(=O)OC)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2
48,challenge_48,FJDDSMSDZHURBJ,1.0,2.0,1.0,1.0,2.0,2.0,CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)I
49,challenge_49,ONJQDTZCDSESIW,1.0,1.0,1.0,1.0,1.0,1.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
50,challenge_50,ZZQHGKMTMAORFI,1.0,1.0,1.0,1.0,1.0,1.0,CN1C2=C(N=C1NCCCOC)N(C(=O)N(C2=O)C)C
51,challenge_51,UFFRBCKYXMEITK,2.0,6.0,17.0,18.0,9.0,16.0,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)C(CC3=CC(=C(C=C3)O)OC)CO)C=CCO
52,challenge_52,XBQGYUHHNKDVKX,inf,,5.0,5.0,4.0,8.0,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(=CCC(C(=CCCC(=CCCC(C)(C=C)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)O)O)C)C)O)C)O)O)OC5C(C(C(C(O5)C)O)O)O)O)O)O
53,challenge_53,CIGSWLXZMSXAAE,30.0,inf,8.0,20.0,22.0,41.0,CC1C(=C)OC(=O)C2=C1C(=C(C=C2O)OC)C
54,challenge_54,NLVMTSRTOGOFQD,4.0,inf,45.0,83.0,99.0,9.0,CC1CCC2(C(C1(C)CCC(=CC(=O)O)C)CCC=C2C)C
55,challenge_55,TXEFUSAHPIYZHD,7.0,5.0,4.0,6.0,4.0,9.0,COC1=CC2=NC=CC3=C2N(C1=O)C4=CC=CC=C34
56,challenge_56,ZRAPVLSWOKTYNU,1.0,2.0,1.0,4.0,1.0,1.0,CCC(C(CC=CCC=CCCCC(=O)N)O)O
57,challenge_57,FVINVHIYNUTXPB,9.0,3.0,8.0,12.0,5.0,1.0,CC(=CCC1(C2=C(C=C(C=C2)O)NC1=O)C(C)(C)C=C)C
58,challenge_58,JJXLDNFRQCESGZ,inf,inf,inf,inf,inf,inf,CC1CCC=C2C1(CC(C(C2O)O)C(=C)C(=O)O)C
59,challenge_59,OAHIHSADYZLDCR,inf,inf,429.0,471.0,4.0,3.0,CC1(CC2C=C(C3(CC3(C2C1)C)C(=O)O)C(=O)O)C
60,challenge_60,YQOVRUAPWCGSLC,2.0,inf,2.0,8.0,22.0,2.0,C1=CC(=CC=C1CC2=CC(=C(C=C2)O)CC3=CC=C(C=C3)O)O
61,challenge_61,BSOLVVCARHZLMT,1.0,inf,1.0,1.0,1.0,1.0,C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OP(=O)(OCC(C(C(C(F)F)(F)F)(F)F)(F)F)OCC(C(C(C(F)F)(F)F)(F)F)(F)F
62,challenge_62,BQYIXOPJPLGCRZ,1.0,3.0,1.0,1.0,2.0,2.0,CC1=NC=C(C(=C1O)C=NNC(=O)C2=CC=NC=C2)CO
63,challenge_63,OSFCMRGOZNQUSW,1.0,1.0,1.0,1.0,1.0,2.0,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC
64,challenge_64,FBMYKMYQHCBIGU,inf,1.0,1.0,1.0,1.0,1.0,CC(C)(CC1=CNC2=CC=CC=C21)NCC(COC3=CC=CC=C3C#N)O
65,challenge_65,QFIZHIXXEOCVCR,inf,inf,inf,inf,inf,inf,CC1CC(C2C(C(C3(C2(C1C(OC3)O)O)C)O)(C)C)OC(=O)C
66,challenge_66,IHDNCMDRDAONNT,260.0,1.0,226.0,226.0,1.0,64.0,CC1=CC(C(C1=O)C=C(C)CCC=C2CCC(OC2=O)C(C)(C)O)O
67,challenge_67,WBDDWIKJZNNKBQ,15.0,inf,22.0,26.0,21.0,12.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1(C)O)C)C(=O)O
68,challenge_68,AGBBJVFSJVBRRY,1.0,1.0,1.0,1.0,1.0,1.0,CC(=O)NC(CSCC(=O)C12CC(CC1C=C(C2CC(=O)O)C(=O)O)(C)C)C(=O)O
69,challenge_69,JCOCIXAHAFALHI,inf,6.0,2.0,2.0,4.0,6.0,C(CCCC(C(CCCC(=O)O)O)O)CCCC(=O)O
70,challenge_70,JPFNJNIYHKVTDX,22.0,inf,48.0,10.0,17.0,14.0,CC(=CCC=C(C)C(CO)OC1C(C(C(C(O1)CO)O)O)O)C
71,challenge_71,MXZVBPOYCKIXHN,2.0,4.0,2.0,2.0,3.0,11.0,CC1(C2CC(=O)C3(C(C2(C=CC(=O)O1)C)CCC(C34C(O4)C(=O)O)(C)C(C5=COC=C5)OC6C(C(C(C(O6)CO)O)O)O)C)C
72,challenge_72,FSQYXTHPPSJGNG,10.0,inf,28.0,39.0,9.0,1.0,CC(C)C(=O)OCC1CC23CCC4C(C2CCC1C3)(CCCC4(CO)C(=O)O)C
73,challenge_73,NCJFEURQKCATER,5.0,inf,90.0,93.0,7.0,60.0,CC1=C(C(CCC1=O)(C)C)C(=O)O
74,challenge_74,ZMFBGWWGXBNJAC,4.0,inf,139.0,28.0,153.0,64.0,COC1=C(C=CC(=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)O
75,challenge_75,OUCSEDFVYPBLLF,1.0,1.0,1.0,1.0,1.0,1.0,CC(C)C1=C(C(=C(N1CCC2CC(CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5
76,challenge_76,HIYAQBUTHPUUSV,3.0,3.0,2.0,1.0,1.0,1.0,CC(C)(C)C1=CC=C(C=C1)C(=O)N(C)C2=CC=CC=C2
77,challenge_77,LVASCWIMLIKXLA,2.0,3.0,2.0,2.0,2.0,1.0,C1CC(C(NC1)CC(=O)CN2C=NC3=CC(=C(C=C3C2=O)Cl)Br)O
78,challenge_78,GGGDNPWHMNJRFN,1.0,2.0,1.0,1.0,2.0,2.0,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I
79,challenge_79,XPIZBBYHXMPNEG,7.0,6.0,3.0,1.0,1.0,1.0,CC1=C(C(=C(C(=C1O)C(=O)CC(C)C)OC2C(C(C(C(O2)CO)O)O)O)C)O
80,challenge_80,MRPDHXXPDCVBPQ,3.0,inf,9.0,13.0,10.0,6.0,CC1CC(CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C)O
81,challenge_81,MSTIUVOQDAVXIA,2.0,inf,21.0,18.0,3.0,44.0,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC4C(C(C(C(O4)CO)O)O)O)OC
82,challenge_82,UTHVFIKQCUKKQW,inf,6.0,4.0,4.0,6.0,2.0,C1C(C=CC(=CC#N)C1OC2C(C(C(C(O2)CO)O)O)O)O
83,challenge_83,HZKJZYRLLBKBHA,2.0,inf,5.0,16.0,11.0,50.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O
84,challenge_84,DFPWLQCOSHYAIG,6.0,2.0,5.0,5.0,4.0,3.0,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C4C(OC(=O)C4=C3C)O)O)CO)O
85,challenge_85,FHYQIQMSODIFCP,9.0,inf,1.0,3.0,26.0,46.0,COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)C=CC(=O)O
86,challenge_86,GQXZUABNLSWQJA,1.0,inf,3.0,1.0,17.0,24.0,CC1=CC(=CC(=C1C(=O)C)O)O
87,challenge_87,JWBZQRMMZRWOSE,inf,inf,18.0,34.0,433.0,352.0,CC=C(C)CCC=C(CCC=C(C)C)C(=O)O
88,challenge_88,YXAGJAFSQKHJEB,inf,inf,30.0,39.0,26.0,47.0,CC(C)C(=O)OCC1CC23CCC4C(C2CCC1C3)(CCCC4(COC(=O)C)C(=O)O)C
89,challenge_89,DEIGXXQKDWULML,inf,1.0,2.0,1.0,1.0,1.0,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br
90,challenge_90,WHIVNJATOVLWBW,2.0,8.0,14.0,11.0,2.0,2.0,CCC(=NO)C
91,challenge_91,LJVAJPDWBABPEJ,1.0,1.0,1.0,1.0,1.0,1.0,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
92,challenge_92,WOSKHXYHFSIKNG,1.0,1.0,1.0,1.0,1.0,1.0,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl
93,challenge_93,LIGHTUNOZWZMMP,inf,inf,inf,inf,inf,inf,C1=CC(=CC=C1CO)OC2C(C(C(C(O2)COC(=O)C3=CC=C(C=C3)O)O)O)O
94,challenge_94,YPULLITUOWRRPG,20.0,3.0,5.0,3.0,2.0,2.0,CC(C)(C1CC2=C(O1)C=CC3=C2OC(=O)C=C3)OC(=O)C=CC4=CC=C(C=C4)O
95,challenge_95,MBBOPONQLZPJRT,1.0,1.0,1.0,1.0,1.0,1.0,CCCCCC=CCC=CCCCCCCCC(=O)OCC(COCCC(C(=O)[O-])[N+](C)(C)C)O
96,challenge_96,MMMZDSQYAMMVEG,inf,1.0,1.0,1.0,1.0,1.0,COC1=CC(=CC(=C1)O)CC(CC(C(Cl)Cl)O)O
97,challenge_97,KKUZEALMRZIWAJ,inf,inf,inf,inf,inf,inf,CC12CCC3C(C1OCC2)C(=O)CC4C3(CCCC4(C)C(=O)O)C
98,challenge_98,UIDKGJWCHCMTEG,inf,inf,inf,inf,inf,inf,CC(=CCCC(=CCCC(=CC(=O)O)C)C(=O)O)C
99,challenge_99,FNHDSKHVYPYDAZ,28.0,inf,38.0,36.0,12.0,40.0,CC(CCC(C(C)(C)O)O)C1CCC2(C1(CCC3=C2CCC4C3(CC(C(=O)C4(C)C)OC(=O)CC(C)(CC(=O)O)O)C)C)C
100,challenge_100,ZPUVNNIJVVEZBH,1.0,3.0,1.0,1.0,1.0,1.0,C1C2=C(C(=C3C(=C2)C=CC=C3OC4C(C(C(C(O4)COC(=O)C=CC5=CC=C(C=C5)O)O)O)O)O)C(=O)O1
101,challenge_101,AEFDYPFFZOCXNS,2.0,3.0,2.0,2.0,1.0,1.0,CC=C1C(=O)N(C(C(=O)N1)CC2=CC(=C(C(=C2)Cl)O)Cl)C
102,challenge_102,MXADFNHTWMJYES,28.0,inf,2.0,10.0,16.0,7.0,COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C(=C3)OC)O)OC)C=CC(=O)O
103,challenge_103,DVVGIUUJYPYENY,8.0,8.0,10.0,11.0,3.0,11.0,CN1C=CC=CC1=O
104,challenge_104,WHBIGIKBNXZKFE,1.0,1.0,1.0,1.0,1.0,1.0,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C
105,challenge_105,BWZJBXAPRCVCKQ,1.0,1.0,1.0,1.0,1.0,1.0,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5
106,challenge_106,GXXXVFMBJGIYPK,1.0,1.0,2.0,1.0,3.0,3.0,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=COC(C(C4CC=O)C=C)OC5C(C(C(C(O5)CO)O)O)O
107,challenge_107,PPLHEXYBZJOGTR,19.0,inf,9.0,15.0,10.0,12.0,C1C(C(C(O1)OCC2C(C(C(C(O2)OCC3=CC4=C(C=C3)OCO4)O)O)O)O)(CO)O
108,challenge_108,XMXNEUOHSHGXTJ,3.0,3.0,2.0,2.0,2.0,1.0,CC(C)(C=C)N1C=C(C2=CC=CC=C21)CC3C(=O)NC(C(=O)N3)CC4=CNC5=CC=CC=C54
109,challenge_109,YBNGMZMKEPSDPI,inf,inf,inf,inf,inf,inf,CC1(C2CC(C1(CC2OC3C(C(C(C(O3)CO)O)O)O)C)O)C
110,challenge_110,YSFNIMJWUPAQKC,16.0,inf,7.0,4.0,23.0,2.0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)CO
111,challenge_111,UMPABASQXRRHQB,2.0,4.0,1.0,1.0,2.0,2.0,CCC1CC2CC3(C1N(C2CC(=O)C)CCC4=C3NC5=CC=CC=C45)C(=O)OC
112,challenge_112,ZNBQWPMZFPFCKS,94.0,inf,341.0,420.0,97.0,35.0,CC1=CC(=O)OC1CC=C(C)CCC=C(CCC=C(C)C)C(=O)O
113,challenge_113,CPGFYBGUXQXJMQ,1.0,2.0,1.0,1.0,3.0,2.0,CC1C(C(OC1C2=CC(=C(C=C2)OC(C)C(C3=CC(=C(C=C3)O)OC)O)OC)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)OC)O)OC)C
114,challenge_114,VUHKKYAXFCILCE,inf,2.0,6.0,9.0,18.0,21.0,CC(CC(C)O)C(CCCCCCCCCCC(=O)O)O
115,challenge_115,YDFWTYLPMZZSLA,1.0,inf,2.0,2.0,1.0,1.0,CC(CC(CC1=CC2=C(C(=CC(=C2Cl)O)O)C(=O)O1)O)O
